id;cp;pop;address;city;automate_24_24;timetable;fuel;shortage;update;price_gazole;price_sp95;price_sp98;price_gplc;price_e10;price_e85;services;brand;name;geo_point
91200001;91200;R;180 ROUTE NATIONALE 7;ATHIS-MONS;Non;"{""Dimanche"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}, ""Jeudi"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}, ""Lundi"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}, ""Mardi"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}, ""Mercredi"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}, ""Samedi"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}, ""Vendredi"": {""fermeture"": ""01.00"", ""ouvert"": 0, ""ouverture"": ""01.00""}}";Gazole,SP95,E85,E10,SP98;GPLc;2024-01-26T06:56:00+00:00;0.001769;0.001829;0.00189;;0.001799;0.000966;Restauration à emporter,Carburant additivé,Restauration sur place,Boutique alimentaire,Station de gonflage,Boutique non alimentaire,Services réparation,entretien,Location de véhicule,Relais colis,DAB (Distributeur automatique de billets),Lavage automatique,Lavage manuel,Bornes électriques,Automate CB 24,24;Carrefour;CARREFOUR ATHIS MONS;48.7120163154, 2.37143873731
91230003;91230;R;72 Avenue Jean Jaurès;MONTGERON;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,SP95,SP98;E85,GPLc,E10;2024-01-24T08:00:00+00:00;0.0017529999999999998;0.001815;0.001853;;;;Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Vente de gaz domestique (Butane, Propane),Bornes électriques,Automate CB 24,24,DAB (Distributeur automatique de billets);Leclerc;MONTGERON - DIS;48.71593, 2.44631
91250001;91250;R;Avenue Charles de Gaulle;SAINT-GERMAIN-LÈS-CORBEIL;;;SP95,E10,SP98;E85,GPLc;2024-01-25T11:46:11+00:00;0.0017549999999999998;0.001825;0.0018620000000000002;;0.001785;;DAB (Distributeur automatique de billets);Simply Market;SIMPLY MARKET;48.61901, 2.4935
91270002;91270;R;5 Avenue Henri Barbusse;VIGNEUX-SUR-SEINE;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E10,SP98;SP95,E85,GPLc;2024-01-26T07:40:48+00:00;0.001769;;0.001859;;0.001778;;Laverie,Restauration sur place,Vente de fioul domestique,Station de gonflage,Lavage automatique,Lavage manuel,Bornes électriques,Automate CB 24,24,DAB (Distributeur automatique de billets);Intermarché;INTERMARCHE VIGNEUX;48.69687, 2.41534
91510002;91510;R;10 Rue jacques Cartier;LARDY;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP98;SP95,GPLc;2024-01-25T06:04:21+00:00;0.0017439999999999999;;0.001823;;0.001751;0.000848;Laverie,Relais colis,Boutique alimentaire,Station de gonflage,Location de véhicule,Lavage automatique,Lavage manuel,Vente de gaz domestique (Butane, Propane),Bornes électriques,DAB (Distributeur automatique de billets);Intermarché Contact;INTERMARCHE LARDY;48.52837, 2.29692
45680004;45680;R;RUE DE PARIS;DORDIVES;;;Gazole,E10,SP98;SP95,E85,GPLc;2024-01-22T06:52:00+00:00;0.001764;;0.001873;;0.001794;;Piste poids lourds;Intermarché;INTERMARCHE DORDIVES2;48.14871, 2.76388
91710001;91710;R;8, rue Berthollet;VERT-LE-PETIT;;;SP98;E85,GPLc;2024-01-25T08:10:52+00:00;0.001769;0.001829;0.001869;;0.001769;;Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets);Intermarché;INTERMARCHE VERT LE PETIT;48.53969, 2.36564
93160001;93160;R;33 Avenue Médéric;NOISY-LE-GRAND;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole;SP95,E85,GPLc;2024-01-26T07:29:11+00:00;0.001882;;0.00199;;0.001903;;Piste poids lourds,Lavage automatique,Services réparation,entretien;Total;NOISY GD RICHARDETS G;48.83017, 2.56134
94120005;94120;R;236 Avenue de la République;FONTENAY-SOUS-BOIS;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP98;SP95,E85,GPLc;2024-01-25T18:59:55+00:00;0.001918;;0.002058;;0.001939;;Boutique non alimentaire,Station de gonflage,Lavage automatique,Vente de gaz domestique (Butane, Propane);Esso;SARL MECARAPID;48.85257, 2.46635
94310002;94310;R;8 Place Gaston Viens;ORLY;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,SP95,E10,SP98;E85,GPLc;2024-01-24T05:00:00+00:00;0.001769;0.001829;0.001859;;0.001799;;Toilettes publiques,Laverie,Relais colis,Boutique alimentaire,Boutique non alimentaire,Restauration à emporter,Restauration sur place,Bar,Vente de fioul domestique,Location de véhicule,Vente de gaz domestique (Butane, Propane),Automate CB 24,24,DAB (Distributeur automatique de billets);Leclerc;E LECLERC ORLY DISTRIBUTION;48.74415, 2.4079
94600003;94600;R;14 Boulevard de Stalingrad;CHOISY-LE-ROI;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole;SP95;2024-01-26T10:07:00+00:00;0.001719;;0.0018759999999999998;;0.001796;;;Esso Express;ESSO RN 305;48.76837, 2.40294
95000011;95000;R;ANGLE AV GROUETTES BLD L'HAUTIL;CERGY;Non;"{""Dimanche"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""07.00""}, ""Jeudi"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Lundi"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mardi"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mercredi"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Samedi"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Vendredi"": {""fermeture"": ""23.59"", ""ouvert"": 1, ""ouverture"": ""06.00""}}";Gazole;;2024-01-26T11:55:00+00:00;0.0018089999999999998;;0.0019190000000000001;;0.0018189999999999999;;Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Lavage automatique,Vente de gaz domestique (Butane, Propane),Automate CB 24,24;BP;BP CERGY LHAUTIL 8 à Huit;49.03199, 2.06858
95400004;95400;R;59 Avenue Charles Vaillant;ARNOUVILLE;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP95,E10,SP98;E85,GPLc;2024-01-25T08:43:27+00:00;0.0018009999999999999;0.001879;0.001915;;0.001815;;Toilettes publiques,Relais colis,Boutique alimentaire,Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets);Simply Market;SIMPLY MARKET;48.98606, 2.41302
95472001;60520;R;RD922;LA CHAPELLE-EN-SERVAL;Non;"{""Dimanche"": {""fermeture"": ""12.30"", ""ouvert"": 1, ""ouverture"": ""09.00""}, ""Jeudi"": {""fermeture"": ""20.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Lundi"": {""fermeture"": ""20.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Mardi"": {""fermeture"": ""20.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Mercredi"": {""fermeture"": ""20.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Samedi"": {""fermeture"": ""20.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Vendredi"": {""fermeture"": ""20.30"", ""ouvert"": 1, ""ouverture"": ""08.00""}}";Gazole,E10,SP98;E85,GPLc,SP95;2024-01-25T19:00:00+00:00;0.0017900000000000001;;0.00189;;0.0018189999999999999;;Boutique alimentaire,Boutique non alimentaire,Location de véhicule,Lavage automatique,Vente de gaz domestique (Butane, Propane),Automate CB 24,24,DAB (Distributeur automatique de billets);Leclerc;SERDIS;49.100778571, 2.52862853092
95640001;95640;R;BOULEVARD GAMBETTA;MARINES;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP98;E85,GPLc,SP95;2024-01-26T11:48:47+00:00;0.001799;;0.00189;;0.001823;;Relais colis,Boutique alimentaire,Vente de gaz domestique (Butane, Propane),Automate CB 24,24,DAB (Distributeur automatique de billets);Carrefour Market;Carrefour Market;49.1472057059, 1.97341290053
77330002;77330;R;2 Avenue Édouard Gourdon;OZOIR-LA-FERRIÈRE;Non;"{""Dimanche"": {""ouvert"": 0}, ""Jeudi"": {""fermeture"": ""19.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Lundi"": {""fermeture"": ""19.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Mardi"": {""fermeture"": ""19.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Mercredi"": {""fermeture"": ""19.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Samedi"": {""ouvert"": 0}, ""Vendredi"": {""fermeture"": ""19.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}}";SP98;E85,GPLc,SP95;2024-01-24T07:54:39+00:00;0.001859;;0.001929;;0.001829;;Boutique non alimentaire,Station de gonflage,Carburant additivé,Piste poids lourds,Lavage manuel,Services réparation,entretien,Automate CB 24,24;Total;SARL REL.STATION SCE D'OZ;48.7729713092, 2.67644024022
